,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
59,Lord of Souls,['J. Gregory Keyes'],en,['Fiction'],3.0,NOT_MATURE,Ballantine Books,2011,316.0
60,"The Dardanelles Campaign, 1915",,en,['History'],,NOT_MATURE,Greenwood Publishing Group,1997,163.0
61,The Routledge Handbook of Stylistics,['Michael Burke'],en,['Language Arts & Disciplines'],,NOT_MATURE,Routledge,2017-11-27,530.0
62,The Liberation Trilogy Box Set,['Rick Atkinson'],en,['History'],1.0,NOT_MATURE,Henry Holt and Company,2013-10-22,2416.0
63,Legacy Discovered,['Kerry Reis'],en,['Fiction'],,NOT_MATURE,Author House,2013-09,188.0
64,"Masterplots II, Short Story Series, Supplement",['Frank N. Magill'],en,['Juvenile Fiction'],,NOT_MATURE,,1996,1746.0
65,Elisha Jones House and Shed,"['James J. Lee (III.)', 'Historic Architecture Program (United States. National Park Service. Northeast Region)']",en,['Historic buildings'],,NOT_MATURE,,2007,207.0
66,An Unpredictable Gospel,['Jay Riley Case'],en,['Religion'],,NOT_MATURE,Oxford University Press,2012-01-02,328.0
67,Masterplots II.,['Charles Edward May'],en,['Study Aids'],,NOT_MATURE,Salem Pr Inc,2004-01,645.0
68,Flowers for Algernon,['BookCaps Study Guides Staff'],en,['Biography & Autobiography'],,NOT_MATURE,BookCaps Study Guides,2011,
69,Stories and Poems for Opening Exercises,,en,"[""Children's stories""]",,NOT_MATURE,,1927,46.0
70,"The Encyclopedia of Superheroes on Film and Television, 2d ed.",['John Kenneth Muir'],en,['Performing Arts'],4.0,NOT_MATURE,McFarland,2004-02-13,704.0
71,Flowers for Algernon,['Patrice Cassedy'],en,['Juvenile Nonfiction'],,NOT_MATURE,,2000-01,96.0
72,Fishery Bulletin,,en,['Fisheries'],,NOT_MATURE,,1986,
73,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66.0
74,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5.0,NOT_MATURE,Knopf Books for Young Readers,2014-09-09,240.0
75,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
76,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2008-12-24,320.0
77,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
78,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,2008-12-24,320.0
79,Caii Spectrum Or Dr. Keyes's Charge Against Dr. M -- [i.e. Dr. Richard Mead],['John Caius (Spirit)'],en,['Communicable diseases'],,NOT_MATURE,,1721,22.0
80,Resources in Education,,en,['Education'],,NOT_MATURE,,1977,
81,Chicano School Failure and Success,['Richard R. Valencia'],en,['Education'],,NOT_MATURE,Psychology Press,2002,383.0
82,The Politics of Hispanic Education,"['Kenneth J. Meier', 'Joseph Stewart']",en,['Education'],,NOT_MATURE,SUNY Press,1991-01-01,275.0
83,Desegregation and Education Concerns of the Hispanic Community,,en,"['Education, Bilingual']",,NOT_MATURE,,1977,103.0
84,Linguistic Diversity and National Unity,['William A. Smalley'],en,['Foreign Language Study'],,NOT_MATURE,University of Chicago Press,1994-06-15,436.0
85,Synergic Integration of Formal and Informal E-Learning Environments for Adult Lifelong Learners,"['Leone, Sabrina']",en,['Education'],,NOT_MATURE,IGI Global,2013-10-31,337.0
86,"Race and Education, 1954-2007",['Raymond Wolters'],en,['Education'],,NOT_MATURE,University of Missouri Press,2008,313.0
87,Wade Keyes' introductory lecture to the Montgomery Law School,"['David I. Durham', 'Wade Keyes', 'Paul M. Pruitt']",en,['Law'],,NOT_MATURE,,2001,45.0
88,Education and the Cult of Efficiency,['Raymond E. Callahan'],en,['Education'],,NOT_MATURE,University of Chicago Press,1964-03-15,286.0
89,Readings on Equal Education,"['Abbas Tashakkori', 'Salvador Hector Ochoa']",en,['Socially handicapped children'],,NOT_MATURE,,1999,271.0
90,The Worcester Directory,,en,['Worcester (Mass.)'],,NOT_MATURE,,1866,
91,American Predator,['Maureen Callahan'],en,['True Crime'],4.0,NOT_MATURE,Penguin,2019-07-02,304.0
92,Kill Rommel!,['Gavin Mortimer'],en,['History'],,NOT_MATURE,Bloomsbury Publishing,2014-02-20,80.0
93,Murder in Hollywood,['Charles Higham'],en,['Biography & Autobiography'],,NOT_MATURE,Terrace Books,2006-02-22,227.0
94,"The Somerville, Arlington and Belmont Directory",,en,,,NOT_MATURE,,1869,
95,"Greenough, Jones & Co's New Directory of the Inhabitants, Institutions, Manufacturing Establishments, Business, Societies, Business Firms, Etc. Etc. in the City and Town of New Haven for ...",,en,['Business enterprises'],,NOT_MATURE,,1874,
96,Benham's Embracing a Limited Sketch of Yale College,,en,,,NOT_MATURE,,,
97,The Wisconsin Magazine of History,,en,,,NOT_MATURE,,1947,
98,Wisconsin magazine of history,['State Historical Society of Wisconsin'],en,['Wisconsin'],,NOT_MATURE,,1948,
99,Rutland Directory,,en,['Rutland (Vt.)'],,NOT_MATURE,,1877,
100,New Evidence on School Desegregation,['Finis Welch'],en,['African Americans'],,NOT_MATURE,,1987,176.0
101,Brunswick,['Sharon Martin Zankel'],en,['History'],,NOT_MATURE,Arcadia Publishing,1998-10-27,128.0
102,Downstage Dead,['Bruce Barber'],en,['Actors'],,NOT_MATURE,Pasdeloup Press,2007-02-01,203.0
103,School as Community,['Gail Furman'],en,['Education'],,NOT_MATURE,SUNY Press,2012-02-01,315.0
104,Euphemania,['Ralph Keyes'],en,['Language Arts & Disciplines'],,MATURE,Hachette UK,2010-12-14,288.0
105,Complex Justice,['Joshua M. Dunn'],en,['Political Science'],,NOT_MATURE,UNC Press Books,2012-09-01,240.0
106,"Five Miles Away, A World Apart",['James E. Ryan'],en,['Education'],,NOT_MATURE,Oxford University Press,2010-08-06,400.0
107,Learning Disabilities,"['William M. Cruickshank', 'William C. Morse', 'Jeannie Johns']",en,['Education'],,NOT_MATURE,Syracuse University Press,1980-02-01,296.0
108,California's Charter Schools,['California. Bureau of State Audits'],en,['Charter schools'],,NOT_MATURE,,2002,219.0
109,America in Black and White,"['Stephan Thernstrom', 'Abigail Thernstrom']",en,['Social Science'],,NOT_MATURE,Simon and Schuster,2009-07-14,704.0
110,PC Mag,,en,,,NOT_MATURE,,1987-02-24,362.0
111,PC Mag,,en,,,NOT_MATURE,,1987-02-10,400.0
112,PC Mag,,en,,,NOT_MATURE,,1987-01-13,374.0
113,PC Mag,,en,,,NOT_MATURE,,1988-09-27,406.0
114,PC Mag,,en,,,NOT_MATURE,,1988-04-26,356.0
115,Computer Decisions,,en,['Electronic data processing'],,NOT_MATURE,,1987,
116,Fifth International Symposium on Domain Decomposition Methods for Partial Differential Equations,['David E. Keyes'],en,['Mathematics'],,NOT_MATURE,SIAM,1992-01-01,623.0
117,Personal Computing,,en,['Microcomputers'],,NOT_MATURE,,1989-09,
118,Data sources,,en,['Computer industry'],,NOT_MATURE,,2000,
119,History of the ... Economic Censuses,,en,['Economic surveys'],,NOT_MATURE,,1992,
120,A University of Tradition,['Purdue Reamer Club'],en,['Education'],,NOT_MATURE,Purdue University Press,2012-11,256.0
121,Biology Pamphlets,,en,['Biology'],,NOT_MATURE,,1898,
122,Biology of the Uterus,"['W. Jollie', 'R.M. Wynn']",en,['Medical'],,NOT_MATURE,Springer Science & Business Media,2013-06-29,644.0
123,Prophets of Agroforestry,['Richard K. Reed'],en,['History'],,NOT_MATURE,University of Texas Press,2014-02-19,271.0
124,"Periodontal Disease, Assessing the Effectiveness and Costs of the Keyes Technique",['Richard M. Scheffler'],en,['Medical instruments and apparatus'],,NOT_MATURE,,1981,32.0
125,Columbia University Quarterly,,en,,,NOT_MATURE,,1913,
126,Advances in Experimental Medicine and Biology,['Constance Kies'],en,['Biology'],,NOT_MATURE,,1989,307.0
127,Biology and Pathology of the Oocyte,"['Alan O. Trounson', 'Roger G. Gosden']",en,['Medical'],,NOT_MATURE,Cambridge University Press,2003-07-10,350.0
128,A. B. Bookman's Weekly,,en,['Antiquarian booksellers'],,NOT_MATURE,,1987-07,
129,Human Biology,"['Sara Stinson', 'Barry Bogin', ""Dennis H. O'Rourke""]",en,['Social Science'],,NOT_MATURE,John Wiley & Sons,2012-03-19,780.0
130,Quarterly Report,['Northwest and Alaska Fisheries Center (U.S.)'],en,['Fisheries'],,NOT_MATURE,,1983,
131,The Anatomy of Hope,['Jerome Groopman'],en,['Health & Fitness'],4.0,NOT_MATURE,Random House,2003-12-23,272.0
132,The Journal of the American Medical Association,['American Medical Association'],en,['American Medical Association'],,NOT_MATURE,,1894,
133,Bioethical and Evolutionary Approaches to Medicine and the Law,['W. Noel Keyes'],en,['Medical'],,NOT_MATURE,American Bar Association,2007,1174.0
134,Official Gazette of the United States Patent Office,['United States. Patent Office'],en,['Patents'],,NOT_MATURE,,1906,
135,Directory ... American College of Physicians,['American College of Physicians'],en,['Medicine'],,NOT_MATURE,,1935,
136,The Azusa Street Mission and Revival,['Cecil M. Robeck'],en,['History'],4.0,NOT_MATURE,Thomas Nelson,2006-03-04,354.0
137,Directory,['American College of Physicians'],en,['Medicine'],,NOT_MATURE,,1937,
138,"Periodontal disease, assessing the effectiveness and costs of the Keyes technique",,en,,,NOT_MATURE,DIANE Publishing,,
139,Standard Directory of Advertising Agencies,,en,['Advertising'],,NOT_MATURE,National Register,1994-01,
140,Mental Health Challenges in Elite Sport: Balancing Risk with Reward,"['Tadhg Eoghan MacIntyre', 'Judy Van Raalte', ' Britton W. Brewer', ' Marc Jones', 'Deirdre O’Shea', 'Paul Joseph McCarthy']",en,,,NOT_MATURE,Frontiers Media SA,2018-01-29,
141,"Sport, the Third Millennium","['Fernand Landry', 'Marc Landry', 'Magdeleine Yerlès', 'International Olympic Committee']",en,['Mass media and sports'],,NOT_MATURE,Presses Université Laval,1991,809.0
142,"Casenote Legal Briefs for Sports Law, Keyed to Weiler, Roberts, Abrams, and Ross",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2011-02-28,180.0
143,"Women, Sport, and Physical Activity",['Helen Lenskyj'],en,['Feminist criticism'],,NOT_MATURE,Sport Info Resource Centre,1994,46.0
144,A Concise history of sport in Canada,['Don Morrow'],en,['History'],,NOT_MATURE,"Oxford University Press, USA",1989-10-01,393.0
145,Biography and Genealogy Master Index 2003,['Kathy Nemeh'],en,['Reference'],,NOT_MATURE,Gale / Cengage Learning,2002-03,932.0
146,Biography and Genealogy Master Index,,en,['Biography'],,NOT_MATURE,,1998,
147,Sams Teach Yourself Perl in 21 Days,"['Laura Lemay', 'Rafe Colburn', 'Richard Colburn']",en,['Computers'],3.5,NOT_MATURE,Sams Publishing,2002,676.0
148,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2008-12-24,320.0
149,"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope, and Stephens",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2013-11-15,156.0
150,The Mystery of Sex,['Elizabeth Keyes'],en,['Love'],,NOT_MATURE,Gentle Living Publications,1975,115.0
151,Delirium,['Nancy L. Cohen'],en,['Political Science'],,NOT_MATURE,Catapult,2012-09-01,415.0
152,American Movie Critics,['Phillip Lopate'],en,['Performing Arts'],5.0,NOT_MATURE,,2006,720.0
153,The International Encyclopedia of Sexuality: Spain to the United States,['Robert T. Francoeur'],en,['Psychology'],,MATURE,Burns & Oates,1997,1737.0
154,CliffsNotes on Keyes' Flowers For Algernon,['Janet Clark'],en,['Literary Criticism'],,NOT_MATURE,Houghton Mifflin Harcourt,2001-03-07,66.0
155,"The American Bar, the Canadian Bar, the International Bar",,en,['Lawyers'],,NOT_MATURE,,1988,
156,"Family Law, Keyed to Ellman, Kurtz, & Barlett",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,2005-04-29,128.0
157,"Casenote Legal Briefs for Property Keyed to Dukeminier, Krier, Alexander, Schill, Strahilevitz",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,2017-09-15,138.0
158,"Family Law, Keyed to Krause, Elrod, Garrison & Oldham",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,2004-11-11,208.0
159,"Family Law, Keyed to Weisberg and Appleton's","['Casenotes', 'Casenote Legal Briefs']",en,['Law'],,NOT_MATURE,Aspen Publishers Online,2010-03-03,204.0
160,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,2006-06-07,184.0
161,"The Tryals and Condemnation of Robert Charnock, Edward King, and Thomas Keyes, for the Horrid and Execrable Conspiracy to Assassinate His Sacred Majesty K. William, in Order to a French Invasion of this Kingdom",['Robert Charnock'],en,"['Lancashire Plot, 1689-1694']",,NOT_MATURE,,1696,76.0
162,Adult Development and Aging,"['John C. Cavanaugh', 'Fredda Blanchard-Fields']",en,['Psychology'],,NOT_MATURE,Cengage Learning,2010-01-01,625.0
163,Saved by Cake,['Marian Keyes'],en,['Cooking'],4.5,NOT_MATURE,Penguin,2013-04-02,240.0
164,Science and the Riddle of Consciousness,['Jeffrey Foss'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,2000-08-31,225.0
165,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0,NOT_MATURE,Yearling,2009-01-16,304.0
166,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,2008-12-24,320.0
167,"Environmental Law, Keyed to Plater, Abrams, Goldfarb, Graham, Heinzerling & Wirth",['Casenotes'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,2004,115.0
168,Beyond Identity,['Dick Keyes'],en,,,NOT_MATURE,Destinee S.A.,2012-06-01,214.0
169,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,2003-09-09,176.0
170,"Bel Marin Keys Development, Unit 5, 404 Permit",,en,,,NOT_MATURE,,1982,
171,Handbook of Midlife Development,['Margie E. Lachman'],en,['Psychology'],,NOT_MATURE,John Wiley & Sons,2002-03-14,672.0
172,Textbook of Operative Dentistry,"['Nisha Garg', 'Amit Garg']",en,['Medical'],,NOT_MATURE,Boydell & Brewer Ltd,2010-08,520.0
173,Legacy Discovered,['Kerry Reis'],en,['Fiction'],,NOT_MATURE,Author House,2013-09,188.0
174,Parasitic Orobanchaceae,"['Daniel M. Joel', 'Jonathan Gressel', 'Lytton J. Musselman']",en,['Science'],,NOT_MATURE,Springer Science & Business Media,2013-07-01,513.0
175,Strategies and Saints,['Langley Carleton Keyes'],en,['Social Science'],,NOT_MATURE,The Urban Insitute,1992-01-01,243.0
176,The Economist Development Report,,en,['International economic relations'],,NOT_MATURE,,1986,
177,"The Handbook of Life-Span Development, Volume 1","['Richard M. Lerner', 'Willis F. Overton']",en,['Psychology'],,NOT_MATURE,John Wiley & Sons,2010-12-14,1040.0
178,Journal of the Iowa Archeological Society,['Iowa Archeological Society'],en,['Indians of North America'],,NOT_MATURE,,2000,
179,Localizing development,['Henry D. Delcore'],en,,,NOT_MATURE,,2000,354.0
180,"Oxford English-Arabic Dictionary, Al-Muhit, 1996",['Dr. Mohamad Badawi'],ar,['Reference'],,NOT_MATURE,Bukupedia ,1996-06-06,1249.0
181,"Al-Muhit-English-Arabic Oxford Study Dictionary, Dr. Mohamad Badawi, 1996",['Academia Internatinal Publication'],ar,['Reference'],,NOT_MATURE,Bukupedia ,1996-07-16,1249.0
182,"English-Arabic Oxford-Duden Pictorial Dictionary, 2003",['Oxford University Press'],ar,['Reference'],,NOT_MATURE,Bukupedia ,2003-07-03,490.0
183,Get Rommel,['Michael Asher'],en,['History'],3.5,NOT_MATURE,Hachette UK,2011-12-01,320.0
184,Omega,,en,['Bereavement'],,NOT_MATURE,,2002,
185,Mastering Arabic 1,"['Jane Wightwick', 'Mahmoud Gaafar']",en,['Foreign Language Study'],3.0,NOT_MATURE,Macmillan International Higher Education,2007-10-19,384.0
186,Arabic Musical Scales,['Cameron Powers'],en,['Music'],,NOT_MATURE,cameron powers,2005,56.0
187,Advanced standard Arabic through authentic texts and audiovisual materials: Audiovisual materials,['Raji M. Rammuny'],ar,['Foreign Language Study'],,NOT_MATURE,University of Michigan Press,1994,128.0
188,اللغة العربية للمراحل المتقدمة من خلال نصوص ومواد سمعية بصرية أصيلة,['Raji M. Rammuny'],ar,['Foreign Language Study'],,NOT_MATURE,University of Michigan Press,1994,344.0
189,Geoffrey Keyes,['Elizabeth Keyes'],en,['History'],,NOT_MATURE,,1956,278.0
190,صغر عقلك,['معتز مشعل'],ar,"['Body, Mind & Spirit']",,NOT_MATURE,Dar Dawen ,2019-01-01,246.0
191,الآراء والمعتقدات,['غوستاف لوبون'],ar,,,NOT_MATURE,دار المحرر الأدبي,,232.0
192,دع القلق وابدأ الحياة,['ديل كارنيجي'],ar,['Psychology'],1.0,NOT_MATURE,ktab INC.,2019-03-03,315.0
193,كيف أصبحوا عظماء,['سعد سعود الكريباني'],ar,['Self-Help'],,NOT_MATURE,العبيكان للنشر,2015-05-03,212.0
194,١٠١ طريقة بسيطة لتكون ناجحًا مع نفسك,['Donna Watson'],ar,['Self-Help'],,NOT_MATURE,العبيكان للنشر,2014-09-15,136.0
195,الثقة بالنفس وتطوير الذات,['أسامة شاهين'],ar,['Psychology'],,NOT_MATURE,Al Manhal,2018-01-01,64.0
196,فن وأسرار اتخاذ القرار,['د. إبراهيم الفقي'],ar,['Self-Help'],,NOT_MATURE,Sama For Publishing & Distributiom,2017-01-01,88.0
197,دراسات سيكلوجية,['سلامة موسى/-/-'],ar,['Literary Collections'],,NOT_MATURE,ktab INC.,2012-01-01,101.0
198,أيقظ قواك الخفية (كيف تتحكم فوراً بمستقبلك الذهني والعاطفي والجسماني والمالي),['أنتوني روبنز'],ar,,,NOT_MATURE,,2002,559.0
199,قوة التحكم في الذات,"['د. إبراهيم الفقي', 'ابراهيم الفقى']",ar,['Self-Help'],1.0,NOT_MATURE,Sama For Publishing & Distributiom,2017-01-01,128.0
200,Advances in Electronics and Electron Physics,,en,['Computers'],,NOT_MATURE,Academic Press,1988-04-15,368.0
201,Advances in Chemical Physics,"['Ilya Prigogine', 'Stuart A. Rice']",en,['Science'],,NOT_MATURE,John Wiley & Sons,2009-09-08,586.0
202,Advances in Imaging and Electron Physics,['Peter W. Hawkes'],en,['Technology & Engineering'],,NOT_MATURE,Elsevier,2011-07-29,352.0
203,The physics of VLSI systems,['Robert W. Keyes'],en,['Computers'],,NOT_MATURE,Addison Wesley Publishing Company,1987,243.0
204,American Men of Science,,en,['Scientists'],,NOT_MATURE,,1960,
205,Directory of Physics & Astronomy Staff Members,,en,['Physics'],,NOT_MATURE,,1977,
206,American men & women of science,"['Jaques Cattell Press', 'R.R. Bowker Company']",en,['Biography & Autobiography'],,NOT_MATURE,,1977-01-01,1100.0
207,The Complete Guide to Blender Graphics,['John M. Blain'],en,['Computers'],,NOT_MATURE,CRC Press,2019-04-15,522.0
208,"The world of learning, 2001",['51st Ed'],en,['Education'],,NOT_MATURE,Routledge,2000-11-22,2192.0
209,The Europa world of learning,['Driss Fatih'],en,['Education'],,NOT_MATURE,,2005,2708.0
210,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,['Chemistry'],,NOT_MATURE,National Academies,1932,
211,Annual Report for Fiscal Year ...,['National Science Foundation (U.S.)'],en,['Research'],,NOT_MATURE,,1962,
